N;Код ПЛ;Вид ПЛ;ПЛ текущий;Код ПЛ Новый;Вид ПЛ новый;ПЛ новый;Код;Контрагент;Работаем с даты:;Головной контрагент;Система ЭД;Регион;Зона региона;Скидка;Менеджер;Макс РЕГ;Тип контрагента;Отсрочка;Ценообразование на отсрочку;Ценообразование на отсрочку рассч;Коэфф;Сумма2013;ЧН 2013;Сумма2014;ЧН 2014;Сумма2015;ЧН 2015;Сумма2016;ЧН 2016;Сумма2017;ЧН 2017;Вид доставки;Оплачивает ПМ;Возмещение;Перевозчик;Количество контрагентов;Аукцион БП 2013;Аукцион БП 2014;Аукцион БП 2015;Аукцион БП 2016;Аукцион БП 2017;Регион код;Аукцион 2013;Аукцион 2014;Аукцион 2015;Аукцион 2016;Аукцион 2017;БП 2013;БП 2014;БП 2015;БП 2016;БП 2017
11;000137;Опт + Розница;Приморский_30;;;;09379;ЛЕДА ООО г. Владивосток;09.07.2015;ЛЕДА ООО г. Владивосток;;Приморский край;;;Никитина С.Ю.;100;Опт;;;;;;;;;202 443,19;33 527,09;;;;;АВТО;ложь ;;;1;;;;;;000000200;;;;;;;;;;
12;000137;Опт + Розница;Приморский_30;;;;09209;Межрегионснабсбыт ООО;13.03.2015;Межрегионснабсбыт ООО;;Приморский край;;;Никитина С.Ю.;65;Опт;;;;;;;;;;;6 444,16;716,42;73 876,22;6 431,34;Самовывоз;ложь ;;;1;;;;;;000000200;;;;;;;;;;
13;000137;Опт + Розница;Приморский_30;;;;10145;Фитофарм  ООО;;Фитофарм  ООО;;Владивосток;;;Никитина С.Ю.;50;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
14;000138;ГосЛПУ;Псковская_БП;;;;09360;Великолукская городская больница;17.07.2015;Великолукская городская больница;;Псковская область;;;Зелинская Н.И.;100;ЛПУ;90;7,40;5,92;;;;;;51 997,27;9 068,92;;;;;АВТО;истина ;;;1;;;51 997,27;;;000000168;;;;;;;;51 997,27;;
15;000138;ГосЛПУ;Псковская_БП;;;;09926;Первомайский психоневрологический интернат ГБУСО;18.10.2016;Первомайский психоневрологический интернат ГБУСО;;Псковская область;;0,100;Шкатова В.В;50;ЛПУ;;;;;;;;;;;551 802,58;52 186,17;960 506,66;104 812,05;АВТО;истина ;;ПЭК ООО;1;;;;551 802,58;960 506,66;000000168;;;;;;;;;551 802,58;960 506,66
16;000138;ГосЛПУ;Псковская_БП;;;;09711;Государственный комитет Псковской области по здравоохранению и фармации;14.03.2016;Государственный комитет Псковской области по здравоохранению и фармации;;Псковская область;;;Шкатова В.В;50;ЛПУ;30;1,80;1,97;;;;;;;;841 993,69;240 441,40;715 066,94;87 068,82;АВТО;истина ;;ПЭК ООО;1;;;;841 993,69;715 066,94;000000168;;;;;;;;;841 993,69;715 066,94
17;000138;ГосЛПУ;Псковская_БП;;;;09463;Великолукская межрайонная больница ГБУЗ Псковской области;03.07.2015;Великолукская межрайонная больница ГБУЗ Псковской области;;Псковская область;;;Зелинская Н.И.;50;ЛПУ;90;7,40;5,92;;;;;;303 850,46;27 737,35;476 797,29;-50 158,12;;;АВТО;истина ;;ПЭК ООО;1;;;303 850,46;476 797,29;;000000168;;;;;;;;303 850,46;476 797,29;
18;000138;ГосЛПУ;Псковская_БП;;;;09306;Псковская областная психиатрическая больница № 1 ГБУЗ ПО;25.05.2015;Псковская областная психиатрическая больница № 1 ГБУЗ ПО;;Псковская область;;;Шкатова В.В;100;ЛПУ;45;2,70;2,96;;;;;;239 673,82;80 306,87;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;239 673,82;;;000000168;;;;;;;;239 673,82;;
19;000138;ГосЛПУ;Псковская_БП;;;;09530;Болгатовский психоневрологический интернат ГБУСО;09.11.2015;Болгатовский психоневрологический интернат ГБУСО;;Псковская область;;0,110;Шкатова В.В;50;ЛПУ;40;2,40;2,63;;;;;;425 132,15;147 921,14;371 481,50;119 806,76;131 842,32;4 757,06;АВТО;истина ;;ПЭК ООО;1;;;425 132,15;371 481,50;131 842,32;000000168;;;;;;;;425 132,15;371 481,50;131 842,32
20;000138;ГосЛПУ;Псковская_БП;;;;10119;Красногородский психоневрологический интернат ГБУСО;07.04.2017;Красногородский психоневрологический интернат ГБУСО;;Псковская область;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;;;;;728 270,91;96 849,48;АВТО;истина ;;ПЭК ООО;1;;;;;728 270,91;000000168;;;;;;;;;;728 270,91
21;000138;ГосЛПУ;Псковская_БП;;;;09367;Псковская областная психиатрическая больница № 2 ГБУЗ ПО;13.07.2015;Псковская областная психиатрическая больница № 2 ГБУЗ ПО;;Псковская область;;;Александров А.А.;50;ЛПУ;45;2,70;2,96;;;;;;1 669 717,04;129 867,34;191 437,71;21 900,54;;;АВТО;истина ;;Деловые Линии ООО;1;;;1 669 717,04;191 437,71;;000000168;;;;;;;;1 669 717,04;191 437,71;
22;000138;ГосЛПУ;Псковская_БП;;;;08695;Псковская ГБ ГБУЗ Псковской области;31.03.2014;Псковская ГБ ГБУЗ Псковской области;;Псковская область;;;Шкатова В.В;100;ЛПУ;84;7,10;5,52;;;;78 645,60;-2 829,53;42 897,60;-11 479,40;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;78 645,60;42 897,60;;;000000168;;;;;;;78 645,60;42 897,60;;
23;000139;УО;Псковская_УО;;;;03869;Фармация ГППО г.Псков;01.01.2008;Фармация ГППО г.Псков;;Псковская область;;;Кузьмиров В.Е.;60;Опт;30;1,80;1,97;;1 406 604,65;183 509,52;407 464,45;118 811,95;624 023,80;82 144,74;298 439,10;17 754,10;201 755,00;17 694,00;АВТО;ложь ;;Деловые Линии ООО;1;;;;;;000000168;;;;;;;;;;
24;000140;ГосЛПУ;Адыгея_БП;;;;08411;Адыгейский республиканский клинический ПНД г. Майкоп;16.09.2013;Адыгейский республиканский клинический ПНД г. Майкоп;;Республика Адыгея;;;Носова Е.А.;50;ЛПУ;14;0,80;0,92;;130 707,37;35 589,14;;;;;;;;;АВТО;истина ;;;1;130 707,37;;;;;000000020;;;;;;130 707,37;;;;
25;000140;ГосЛПУ;Адыгея_БП;;;;07373;Министерство здравоохранения Республики Адыгея;02.07.2012;Министерство здравоохранения Республики Адыгея;;Республика Адыгея;;;Александров А.А.;50;Опт;45;2,70;2,96;;;;;;;;297 848,51;34 223,05;;;АВТО;истина ;;ПЭК ООО;1;;;;297 848,51;;000000020;;;;;;;;;297 848,51;
26;000140;ГосЛПУ;Адыгея_БП;;;;03491;Майкопская аптечная база ГУП РА г. Майкоп;01.01.2008;Майкопская аптечная база ГУП РА г. Майкоп;;Республика Адыгея;;;Носова Е.А.;50;Опт;;;;;13 508,32;1 171,72;;;;;;;;;АВТО;истина ;;;1;;;;;;000000020;;;;;;;;;;
27;000140;ГосЛПУ;Адыгея_БП;;;;08356;Майкопский психоневрологический дом-интернат ГБУ РА г. Майкоп;27.08.2013;Майкопский психоневрологический дом-интернат ГБУ РА г. Майкоп;;Республика Адыгея;;;Александров А.А.;100;ЛПУ;40;2,40;2,63;;487 718,68;44 736,67;706 877,66;32 604,10;173 976,91;44 474,41;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;487 718,68;706 877,66;173 976,91;;;000000020;;;;;;487 718,68;706 877,66;173 976,91;;
28;000141;ГосЛПУ;МарийЭл_БП;;;;09879;Республиканская психиатрическая больница ГБУ Республики Марий Эл;24.08.2016;Республиканская психиатрическая больница ГБУ Республики Марий Эл;;Республика Марий Эл;;;Никитина С.Ю.;100;ЛПУ;45;2,70;2,96;;;;;;;;780 681,10;47 638,49;;;АВТО;истина ;;;1;;;;780 681,10;;000000221;;;;780 681,10;;;;;;
29;000142;УО;АлтайРесп_УО;;;;05525;Фармация ГУП Республика Алтай;12.05.2011;Фармация ГУП Республика Алтай;;Республика Алтай;;;Никитина С.Ю.;;Опт;30;1,80;1,97;;310 821,49;60 664,21;788 338,96;132 116,65;874 646,25;170 355,94;61 513,50;9 085,10;332 447,41;36 163,90;АВТО;ложь ;;Ратэк ООО;1;;;;;;000000463;;;;;;;;;;
30;000143;ГосЛПУ;Бурятия_БП;;;;10289;Мухоршибирский ПНИ АУСО РБ;;Мухоршибирский ПНИ АУСО РБ;;Улан-Удэ;;;Хохлова Ю.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
31;000143;ГосЛПУ;Бурятия_БП;;;;08571;Республиканский клинический противотуберкулезный диспансер имени Галины Доржиевны Дугаровой ГБУЗ, г. Улан-Удэ;17.12.2013;Республиканский клинический противотуберкулезный диспансер имени Галины Доржиевны Дугаровой ГБУЗ, г. Улан-Удэ;;Республика Бурятия;;;Носова Е.А.;50;ЛПУ;14;0,80;0,92;;1 049 836,55;50 440,05;;;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;1 049 836,55;;;;;000000432;;;;;;1 049 836,55;;;;
32;000143;ГосЛПУ;Бурятия_БП;;;;09013;Министерство здравоохранения Республики Бурятия;02.12.2014;Министерство здравоохранения Республики Бурятия;;Республика Бурятия;;;Александров А.А.;50;ЛПУ;60;3,60;3,95;;;;93 419,49;11 996,33;359 723,50;192 134,04;;;154 205,80;64 355,80;АВИА;истина ;;;1;;93 419,49;359 723,50;;154 205,80;000000432;;;;;;;93 419,49;359 723,50;;154 205,80
33;000143;ГосЛПУ;Бурятия_БП;;;;09118;Республиканский психоневрологический диспансер ГБУЗ Улан-Удэ;02.02.2015;Республиканский психоневрологический диспансер ГБУЗ Улан-Удэ;;Республика Бурятия;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;644 743,32;63 533,45;;;825 777,68;316 521,12;ЖД;истина ;;ЖелдорАльянс ООО (не действующий, не брать!!!);1;;;644 743,32;;825 777,68;000000432;;;;;;;;644 743,32;;825 777,68
34;000143;ГосЛПУ;Бурятия_БП;;;;09204;Городская больница №4 ГБУЗ г.Улан-Удэ;03.04.2015;Городская больница №4 ГБУЗ г.Улан-Удэ;;Республика Бурятия;;;Александров А.А.;50;ЛПУ;90;7,40;5,92;;;;;;384 581,89;34 119,01;253 366,03;59 871,03;;;АВТО;истина ;;Деловые Линии ООО;1;;;384 581,89;253 366,03;;000000432;;;;;;;;384 581,89;253 366,03;
35;000144;УО;Бурятия_УО;;;;05368;Бурят-Фармация ГП РБ г. Улан-Удэ;27.12.2011;Бурят-Фармация ГП РБ г. Улан-Удэ;;Республика Бурятия;;;Никитина С.Ю.;70;Опт;30;1,80;1,97;;1 530 908,79;238 373,89;1 289 949,76;258 344,65;655 631,02;128 608,89;1 002 685,07;107 426,14;141 389,10;33 568,89;ЖД;ложь ;;ЖелдорАльянс Транспортная компания ООО;1;;;;;;000000432;;;;;;;;;;
36;000145;ГосЛПУ;Дагестан_БП;;;;10259;Левашинская центральная районная больница ГБУ РД;;Левашинская центральная районная больница ГБУ РД;;Махачкала;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
37;000145;ГосЛПУ;Дагестан_БП;;;;09943;Республиканский центр по профилактике и борьбе со СПИДом МЗ Респ. Дагестан;;Республиканский центр по профилактике и борьбе со СПИДом МЗ Респ. Дагестан;;Махачкала;;;Кузьмиров В.Е.;50;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
38;000145;ГосЛПУ;Дагестан_БП;;;;10268;Табасаранская центральная районная больница ГБУ РД;;Табасаранская центральная районная больница ГБУ РД;;Табасаранский район, сел. Хучни;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
39;000145;ГосЛПУ;Дагестан_БП;;;;10231;Психоневрологический интернат «Милосердие» ГБУ РД;;Психоневрологический интернат «Милосердие» ГБУ РД;;Буйнакск;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
40;000145;ГосЛПУ;Дагестан_БП;;;;10265;ЮЖНО-СУХОКУМСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГБУ РД;;ЮЖНО-СУХОКУМСКАЯ ЦЕНТРАЛЬНАЯ ГОРОДСКАЯ БОЛЬНИЦА ГБУ РД;;Махачкала;;;Никитина С.Ю.;80;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
41;000145;ГосЛПУ;Дагестан_БП;;;;09915;Республиканская психиатрическая больница г. Буйнакска  ГКУ РД;15.10.2016;Республиканская психиатрическая больница г. Буйнакска  ГКУ РД;;Республика Дагестан;;;Александров А.А.;50;ЛПУ;30;1,80;1,97;;;;;;;;543 609,19;112 731,28;;;АВТО;истина ;;Деловые Линии ООО;1;;;;543 609,19;;000000088;;;;;;;;;543 609,19;
42;000145;ГосЛПУ;Дагестан_БП;;;;09940;Министерство здравоохранения Республики Дагестан;03.11.2016;Министерство здравоохранения Республики Дагестан;;Республика Дагестан;;;Александров А.А.;50;Опт;21;1,30;1,38;;;;;;;;1 296 095,67;483 176,29;982 295,60;201 180,18;АВТО;истина ;;;1;;;;1 296 095,67;982 295,60;000000088;;;;1 296 095,67;;;;;;982 295,60
43;000145;ГосЛПУ;Дагестан_БП;;;;07869;МРД №2 МБУЗ;11.02.2013;МРД №2 МБУЗ;;Республика Дагестан;;;Носова Е.А.;50;ЛПУ;;;;;331 081,82;82 176,10;;;;;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;331 081,82;;;;;000000088;;;;;;331 081,82;;;;
44;000145;ГосЛПУ;Дагестан_БП;;;;09262;Республиканский психоневрологический диспансер ГБУ Республики Дагестан;05.05.2015;Республиканский психоневрологический диспансер ГБУ Республики Дагестан;;Республика Дагестан;;0,110;Никитина С.Ю.;100;ЛПУ;60;3,60;3,95;;;;;;1 711 440,12;315 135,67;1 784 588,44;398 500,02;1 983 523,79;491 780,43;АВТО;истина ;;ГК Мейджик Транс ООО;1;;;1 562 658,74;1 784 588,44;1 882 830,28;000000088;;;1 562 658,74;1 784 588,44;1 882 830,28;;;;;
45;000147;Оптовики;Ингушетия_ОПТ;;;;06307;СИА Интернейшнл - Назрань ООО г.Назрань;22.06.2011;СИА Интернейшнл - Назрань ООО г.Назрань;;Республика Ингушетия;;;Кузьмиров В.Е.;60;Опт;;;;;628 923,13;141 210,88;109 662,38;11 508,64;456 317,34;35 187,05;360 143,83;45 287,81;138 367,64;19 309,35;АВТО;ложь ;;Ир Транс ООО г. Москва;1;442 402,87;;;;;000000104;169 675,60;;;;;272 727,27;;;;
46;000148;УО;Калмыкия_УО;;;;08324;Республиканская больница им. П.П.Жемчуева БУ Республики Калмыкии;02.09.2013;Республиканская больница им. П.П.Жемчуева БУ Республики Калмыкии;;Республика Калмыкия;;;Царапкина А.Ю.;98;ЛПУ;;;;;186 437,15;26 271,72;81 200,34;20 413,54;340 646,00;59 112,00;23 067,27;2 451,47;;;ЖД;истина ;;;1;;;;;;000000453;;;;;;;;;;
47;000149;Оптовики;Калмыкия_ОПТ;;;;10002;Аптечное управление АУ Республика Калмыкия;28.03.2017;Аптечное управление АУ Республика Калмыкия;;Республика Калмыкия;;;Кручинкина А.И.;100;Опт;;;;;;;;;;;;;118 344,17;16 898,37;АВТО;ложь ;;"СпецсвязьФГУП ""ГЦСС""";1;;;;;;000000453;;;;;;;;;;
48;000149;Оптовики;Калмыкия_ОПТ;;;;08837;Асторат-Элиста ООО г.Элиста;18.07.2014;Асторат-Элиста ООО г.Элиста;;Республика Калмыкия;;;Шкатова В.В;100;Опт;;;;;;;238 873,61;50 840,41;719 275,95;162 365,17;924 774,38;181 022,04;347 249,46;74 749,80;АВТО;ложь ;;;1;;;;105 168,08;347 249,46;000000453;;;;10 142,27;;;;;95 025,81;347 249,46
49;000150;ГосЛПУ;Карелия_БП;;;;07846;Министерство здравоохранения и социального развития Республики Карелия;30.01.2013;Министерство здравоохранения и социального развития Республики Карелия;;Республика Карелия;;;Шкатова В.В;50;ЛПУ;45;2,70;2,96;;217 792,55;21 514,41;;;623 021,92;45 164,08;540 918,73;95 831,80;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;217 792,55;;623 021,92;540 918,73;;000000097;;;;;;217 792,55;;623 021,92;540 918,73;
50;000150;ГосЛПУ;Карелия_БП;;;;08817;Пудожская центральная районная больница Республики Карелия;16.07.2014;Пудожская центральная районная больница Республики Карелия;;Республика Карелия;;;Носова Е.А.;100;ЛПУ;120;13,00;7,89;;;;246 590,85;-724,34;;;;;;;АВТО;истина ;;Желдорэкспедиция-ООО;1;;246 590,85;;;;000000097;;;;;;;246 590,85;;;
51;000150;ГосЛПУ;Карелия_БП;;;;08436;Медвежьегорская ЦРБ ГБУЗ;07.04.2015;Медвежьегорская ЦРБ ГБУЗ;;Республика Карелия;;;Шкатова В.В;50;ЛПУ;60;3,60;3,95;;;;;;449 886,83;115 657,11;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;;374 412,72;;;000000097;;;120 612,42;;;;;253 800,30;;
52;000150;ГосЛПУ;Карелия_БП;;;;09099;Республиканский наркологический диспансер, Республики Карелия, г.Петрозаводск;28.01.2015;Республиканский наркологический диспансер, Республики Карелия, г.Петрозаводск;;Республика Карелия;;;Шкатова В.В;100;ЛПУ;28;1,70;1,84;;;;;;367 107,80;119 857,27;101 334,75;24 857,82;;;АВТО;истина ;;Желдорэкспедиция-ООО;1;;;367 107,80;101 334,75;;000000097;;;;101 334,75;;;;367 107,80;;
53;000150;ГосЛПУ;Карелия_БП;;;;09517;Сортавальская ЦРБ ГБУЗ;21.10.2015;Сортавальская ЦРБ ГБУЗ;;Республика Карелия;;;Зелинская Н.И.;50;ЛПУ;90;7,40;5,92;;;;;;139 274,11;33 752,39;;;;;АВТО;истина ;;ПЭК ООО;1;;;139 274,11;;;000000097;;;;;;;;139 274,11;;
54;000150;ГосЛПУ;Карелия_БП;;;;09227;Медвежьегорский ПНИ ГБСУ СО;01.04.2015;Медвежьегорский ПНИ ГБСУ СО;;Республика Карелия;;;Шкатова В.В;100;ЛПУ;30;1,80;1,97;;;;;;506 319,96;93 338,77;;;834 072,85;47 455,62;АВТО;истина ;;ПЭК ООО;1;;;506 319,96;;834 072,85;000000097;;;;;834 072,85;;;506 319,96;;
55;000150;ГосЛПУ;Карелия_БП;;;;10047; Республиканская больница им. В.А. Баранова ГБУЗ  РК;; Республиканская больница им. В.А. Баранова ГБУЗ  РК;;Петрозаводск;;;Александров А.А.;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
56;000150;ГосЛПУ;Карелия_БП;;;;10198;ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ КАРЕЛИЯ ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ И ОРГАНИЗАЦИИ ЗАКУПОК;;ГОСУДАРСТВЕННЫЙ КОМИТЕТ РЕСПУБЛИКИ КАРЕЛИЯ ПО УПРАВЛЕНИЮ ГОСУДАРСТВЕННЫМ ИМУЩЕСТВОМ И ОРГАНИЗАЦИИ ЗАКУПОК;;Петрозаводск;;;;;;;;;;;;;;;;;;;;;ложь ;;;;;;;;;;;;;;;;;;;
57;000151;УО;Карелия_УО;;;;04788;Карелфарм ГУП Республика Карелия;01.04.2008;Карелфарм ГУП Республика Карелия;;Республика Карелия;;;Кручинкина А.И.;65;Опт;30;1,80;1,97;;213 410,91;44 383,28;275 117,37;59 889,99;79 670,00;8 862,20;;;;;ЖД;ложь ;;Желдорэкспедиция-ООО;1;;;;;;000000097;;;;;;;;;;
58;000152;ГосЛПУ;Коми_1з_БП;;;;09746;Сыктывкарский ПНИ ГБУ Республики Коми;13.04.2016;Сыктывкарский ПНИ ГБУ Республики Коми;;Республика Коми;;;Шкатова В.В;50;ЛПУ;45;2,70;2,96;;;;;;;;626 188,15;114 019,27;;;АВТО;истина ;;ПЭК ООО;1;;;;626 188,15;;000000139;;;;;;;;;626 188,15;
59;000152;ГосЛПУ;Коми_1з_БП;;;;09461;Кочпонский ПНИ ГБУ Республики Коми;03.09.2015;Кочпонский ПНИ ГБУ Республики Коми;;Республика Коми;1;;Шкатова В.В;50;ЛПУ;60;3,60;3,95;;;;;;210 999,28;35 181,62;;;;;АВТО;истина ;;ПЭК ООО;1;;;210 999,28;;;000000139;;;;;;;;210 999,28;;
60;000152;ГосЛПУ;Коми_1з_БП;;;;07783;Коми республиканский онкологический диспансер ГУ;05.01.2013;Коми республиканский онкологический диспансер ГУ;;Республика Коми;1;;Носова Е.А.;50;ЛПУ;30;1,80;1,97;;287 155,22;29 373,12;;;265 974,54;13 549,37;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;287 155,22;;265 974,54;;;000000139;;;;;;287 155,22;;265 974,54;;
61;000152;ГосЛПУ;Коми_1з_БП;;;;08730;Ухтинская ГБ №1 Государственное бюджетное учреждение здравоохранения Республики Коми;14.05.2014;Ухтинская ГБ №1 Государственное бюджетное учреждение здравоохранения Республики Коми;;Республика Коми;1;;Носова Е.А.;50;ЛПУ;21;1,30;1,38;;;;57 676,44;9 397,50;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;;57 676,44;;;;000000139;;;;;;;57 676,44;;;
62;000152;ГосЛПУ;Коми_1з_БП;;;;09082;Сосногорская ЦРБ, ГБУЗ Республики Коми;24.02.2015;Сосногорская ЦРБ, ГБУЗ Республики Коми;;Республика Коми;1;;Зелинская Н.И.;100;ЛПУ;30;1,80;1,97;;;;;;556 472,17;18 031,55;;;;;ЖД;истина ;;Желдорэкспедиция-ООО;1;;;556 472,17;;;000000139;;;;;;;;556 472,17;;
63;000152;ГосЛПУ;Коми_1з_БП;;;;08079;Ухтинский ПНИ ГБУ РК г. Ухта;30.04.2013;Ухтинский ПНИ ГБУ РК г. Ухта;;Республика Коми;1;;Носова Е.А.;100;ЛПУ;14;0,80;0,92;;500 608,87;33 346,30;621 890,63;22 662,08;;;;;;;АВТО;истина ;;ПЭК ВОСТОК ООО ( не использовать);1;350 608,27;575 636,83;;;;000000139;;;;;;350 608,27;575 636,83;;;
64;000152;ГосЛПУ;Коми_1з_БП;;;;09715;Министерство здравоохранения Республики Коми;11.03.2016;Министерство здравоохранения Республики Коми;;Республика Коми;1;;Зелинская Н.И.;50;ЛПУ;28;1,70;1,84;;;;;;;;240 457,44;22 463,10;;;АВТО;истина ;;ПЭК ООО;1;;;;240 457,44;;000000139;;;;;;;;;240 457,44;
65;000152;ГосЛПУ;Коми_1з_БП;;;;07414;Коми Республиканская психиатрическая больница ГУ;30.07.2012;Коми Республиканская психиатрическая больница ГУ;;Республика Коми;1;;Александров А.А.;50;ЛПУ;70;5,70;4,60;;;;;;;;1 062 211,98;5 540,05;;;АВТО;истина ;;Деловые Линии ООО;1;;;;1 062 211,98;;000000139;;;;;;;;;1 062 211,98;
66;000152;ГосЛПУ;Коми_1з_БП;;;;09882;Усть-Куломская центральная районная больница ГБУЗ Республики Коми;19.08.2016;Усть-Куломская центральная районная больница ГБУЗ Республики Коми;;Республика Коми;1;;Никитина С.Ю.;100;ЛПУ;;;;;;;;;;;90 157,83;1 363,94;;;ЖД;истина ;;;1;;;;;;000000139;;;;;;;;;;
67;000153;ГосЛПУ;Коми_2з_БП;;;;08793;Воркутинская психоневрологическая больница ГБУЗ РК г.Воркута;02.07.2014;Воркутинская психоневрологическая больница ГБУЗ РК г.Воркута;;Республика Коми;2;;Носова Е.А.;100;ЛПУ;45;2,70;2,96;;;;298 831,82;29 201,82;;;;;;;АВТО;истина ;;Деловые Линии ООО;1;;298 831,82;;;;000000139;;;;;;;298 831,82;;;
