,drug_cod,drug_x,provider_code,provider_drug_cod,code,drug_y
48,4421, Маннит 150мг/мл 400мл  №1 фл р-р д/инф,0000000000000000000005057,5163,5057,Маннит фл 15% 400 мл (для стационаров)
49,15323, Новиган №10 тб пл/о,0000000000000000000016970,5163,16970,Новиган таб №10
50,15321, Диклофенак-Акрихин 1% 40г гель туба ,0000000000000000000021992,5163,21992,Диклофенак-Акрихин гель 1% 40 г
51,12486, Актовегин 200мг №50 тб п/о ,0000000000000000000017557,5163,17557,Актовегин таб 200 мг №50 п/о
52,12479, Каметон 30г №1 спрей д/мест прим,0000000000000000000015995,5163,15995,Каметон спрей 30 г (инд уп)
53,10072, Тилаксин 125мг №10 тб п/о,0000000000000000000017694,5163,17694,Тилаксин таб 125 мг №10
54,11527, Афлубин №12 тб сублингв гом ,0000000000000000000011494,5163,11494,Афлубин таб подъязычные гомеопат №12
55,12509," Лозартан 12,5мг №30 тб пл/о",0000000000000000000017242,5163,17242,"Лозартан таб 12,5 мг №30"
56,4785, Энтерофурил 200мг/5мл 90мл сусп д/приема внутрь №1,0000000000000000000015394,5163,15394,Энтерофурил сусп 200 мг/5 мл 90 мл
57,9398, Мята перечная н-ка 25мл фл т/с,0000000000000000000014421,5163,14421,Мяты перечной настойка фл 25 мл (инд уп)
58,12780, Диазолин 50мг №10 тб,0000000000000000000015169,5163,15169,"Диазолин таб 0,05 г №10"
59,11963, Офлоксацин 400мг №10 тб пл/о,0000000000000000000018129,5163,18129,Офлоксацин таб 400 мг №10
60,4818, Ванкорус 1г №1 фл лиофилизат для приготовления раствора для инфузий,0000000000000000000014299,5163,14299,Ванкорус (Ванкомицин) фл 1 г в/в (инд уп)
61,13559, Нексиум 40мг №28 тб п/о,0000000000000000000017415,5163,17415,Нексиум таб 40 мг №28
62,11971, Тизалуд 2мг №30 тб,0000000000000000000018397,5163,18397,Тизалуд таб 2 мг №30
63,11830, Цетиризин 10мг №10 тб пл/о ,0000000000000000000017293,5163,17293,Цетиризин таб 10 мг №10
64,5660, Антигриппин №10 тб шпч (грейпфрут),0000000000000000000015488,5163,15488,Антигриппин шип таб №10 грейпфрут
65,9647, Амикацин 1000 мг №1 пор д/р-р в/в в/м,0000000000000000000018968,5163,18968,Амикацин фл 1000 мг в/м в/в (для стационаров)
66,6939, Пумпан 20мл №1 фл капли,0000000000000000000005472,5163,5472,Пумпан капли фл 20 мл
67,10152, Дона 200мг/мл 2мл №6 пор д/ин + р-ль,0000000000000000000009428,5163,9428,Дона амп 200 мг/мл 2 мл №6 в/м с растворителем
68,10155, Валерианы настойка 25мл №1,0000000000000000000017670,5163,17670,Валерианы настойка фл 25 мл (инд уп)
69,10116, Кеторол 30мг/мл 1мл №10 амп р-р д/в/в и в/м введ,0000000000000000000015913,5163,15913,Кеторол амп №10  в/в в/м
70,10141, Бронхорус сироп 3 мг/мл без сахара 100мл фл ,0000000000000000000014311,5163,14311,Бронхорус 3 мг/мл 100 мл сироп (инд уп) для детей
71,10169, Микразим 10 000ЕД №20 капс кшчр ,0000000000000000000015045,5163,15045,Микразим капс 10000ЕД №20 (инд уп)
72,9148, Тамоксифен 20мг №30 тб,0000000000000000000017928,5163,17928,Тамоксифен таб 20 мг №30 (инд уп)
73,4491, Новокаин 5мг/мл 10мл №10 амп р-р д/ин,0000000000000000000007318,5163,7318,"Новокаин амп 0,5% 10 мл №10"
74,12822, Фурадонин Авексима 50мг №10 тб,0000000000000000000017517,5163,17517,Фурадонин Авексима таб 50 мг №10
75,4847, Салфетка спиртовая антисепт 30 х 60мм №1,0000000000000000000014429,5163,14429,Салфетка спиртовая д/инъекций 30х60 мм
76,11754, Ново-Пассит 200мл №1 р-р,0000000000000000000016415,5163,16415,Ново-Пассит р-р фл 200 мл
77,5518, Калия хлорид 40мг/мл 10мл №10 р-р для в/в введ амп,0000000000000000000013973,5163,13973,Калия хлорид амп 4% 10 мл №10 р-р
78,10096," Натрия хлорид 0,9% 10мл №10 амп р-р д/ин",0000000000000000000014657,5163,14657,"Натрия хлорид амп 0,9% 10 мл №10."
79,11610, Рисперидон 2мг №20 тб пл/о,0000000000000000000019327,5163,19327,Рисперидон таб 2 мг №20
80,4695," Диклофенак 0,1% 5мл №1 капли гл",0000000000000000000014991,5163,14991,"Диклофенак капли глаз 0,1% 5 мл"
81,15339, Вазелиновое масло 100мл №1 косметич (18%НДС) фл,0000000000000000000018706,5163,18706,Вазелиновое масло фл 100 мл пластик Биолайн
82,5064, Нимулид 50мг/5мл 60 мл сусп д/приема внутрь,0000000000000000000016688,5163,16688,Нимулид сусп 50 мг/5 мл фл 60 мл
83,9501, Ацекардол 50мг №30 тб п/к/о,0000000000000000000014298,5163,14298,Ацекардол таб 50 мг №30 (инд уп)  (Ацетилсалициловая к-та)
84,4499, Ципрофлоксацин 500мг №10 тб п/пл/о,0000000000000000000018956,5163,18956,Ципрофлоксацин таб 500 мг №10
85,12853," Изокет 1,25мг/доза 15мл спрей 300 доз",0000000000000000000000873,5163,873,"Изокет спрей 1,25 мг/доза 300 доз 15 мл п/яз"
86,5285, Цефалексин 500мг №16 капс,0000000000000000000018188,5163,18188,"Цефалексин капс 0,5 г №16"
87,11385, Лефлобакт 250мг №10 тб пл/о,0000000000000000000018973,5163,18973,Лефлобакт таб 250 мг №10
88,15268, Каптоприл 50мг №20 тб,0000000000000000000018648,5163,18648,Каптоприл таб 50 мг №20 (инд уп)
89,4571, Амлодипин - веро 10мг №30 тб,0000000000000000000013431,5163,13431,Веро-Амлодипин таб 10 мг №30
90,15308," Калия йодид 0,2мг №100 тб",0000000000000000000021964,5163,21964,Калия йодид таб 200 мкг №100
91,15311, Термопсол таблетки от кашля №20,0000000000000000000017676,5163,17676,Термопсол таб №20
92,10083, Гризеофульвин 125мг №20 тб,0000000000000000000003977,5163,3977,"Гризеофульвин таб 0,125 г №20"
93,10111, Артрозан 15мг №20 тб,0000000000000000000018051,5163,18051,"Артрозан таб 0,015 №20"
94,12447, Метформин 1000мг №60 тб,0000000000000000000018370,5163,18370,Метформин таб 1000 мг №60
95,11621, Спиронолактон 25мг №20 тб,0000000000000000000018288,5163,18288,Спиронолактон таб 25 мг №20
96,11532, Фемибион Наталкер II набор №60 капс/тб,0000000000000000000018375,5163,18375,Фемибион Наталкер 2 таб №30 + капс №30
97,12027," Грамицидин С 1,5мг №20 тб защечные",0000000000000000000018779,5163,18779,"Грамицидин С таб 1,5 мг №20 (инд уп) Renewal"
98,12508, Пипетка офтальм стекл травмобезопасн в футляре №1 инд/уп,0000000000000000000012525,5163,12525,"Пипетка травмобезопасная глазная (в футляре) (в инд уп, пакет, штрих-код)"
99,10210, Диклофенак ретард 100мг №20 тб  пролонг дейст кшчр,0000000000000000000015717,5163,15717,Диклофенак таб ретард 100 мг №20
100,15322, Атенолол Белупо 50мг №30 тб пл/об,0000000000000000000019325,5163,19325,Атенолол таб 50 мг №30 (инд уп)
101,15330, Ибуклин Юниор100мг+125 №20 дисп тб дет,0000000000000000000014836,5163,14836,Ибуклин Юниор таб 100 мг+125 мг №20 диспергируемые
102,3024, Ибуклин100мг+125 №20 дисп тб дет,0000000000000000000014836,5163,14836,Ибуклин Юниор таб 100 мг+125 мг №20 диспергируемые
103,10078, Римантадин 50мг №20 тб ,0000000000000000000013936,5163,13936,"Римантадин таб 0,05 г №20 (инд уп)"
104,11602, Церетон 250мг/мл 4мл №5 амп р-р д/в/в и в/м введения,0000000000000000000013297,5163,13297,Церетон амп 250 мг/мл 4 мл № 5 в/в в/м
105,11829, Троксерутин 300мг №50 капс,0000000000000000000016538,5163,16538,Троксерутин кап 300 мг №50
106,4770, Левометил 30г мазь для нар прим-я туба,0000000000000000000010736,5163,10736,Левометил мазь (ЛЕВОМЕКОЛЬ) 30 г туба (инд уп)
107,11544, Ибуклин 400мг+325 №10 тб пл/о,0000000000000000000016040,5163,16040,Ибуклин таб 400 мг + 325 мг №10
108,11547, Таурин-Диа 4% 10мл №1 фл капли гл,0000000000000000000017616,5163,17616,Таурин фл-кап 4% 10 мл (инд уп)
109,11946, Фамотидин 20мг №30 тб пл/о,0000000000000000000015626,5163,15626,Фамотидин таб 20 мг №30 (инд уп)
110,11427, Синекод 5мг/мл 20мл кап д/детей фл ,0000000000000000000006837,5163,6837,Синекод капли фл 20 мл
111,10889, Аторвастатин 20мг №30 тб пл/о,0000000000000000000018818,5163,18818,Аторвастатин таб 20 мг №30  Канонфарма
112,11768, Кордиамин 250мг/мл 2мл №10 амп р-р д/ин,0000000000000000000017074,5163,17074,Кордиамин амп 250 мг/мл 2 мл №10
113,10883, Фурацилин 0.02% 200мл  р-р мест/наруж фл,0000000000000000000018850,5163,18850,"Фурацилин фл 0,02% 200 мл"
114,11882, Аскорутин №50 тб,0000000000000000000007898,5163,7898,Аскорутин таб №50 (инд уп)
115,5548, Допамин 40мг/мл 5мл №10 (5х2) амп концентрат для приготовления раствора для инфузий,0000000000000000000014575,5163,14575,Допамин амп 40 мг/мл 5 мл №10 (уп конт яч 5х2)
116,11601," Ацикловир 0,25г №1 фл лиофилизат д/пригот р-ра д/инф",0000000000000000000018855,5163,18855,Ацикловир лиофилизат фл 250 мг (инд уп)
117,15341, Лейкопластырь фикс на тк осн 2*500 №1 катуш ,0000000000000000000003168,5163,3168,Лейкопластырь катушка 2х500 (инд уп).
118,11469, Диоксидин 10мг/мл 5мл №10 амп р-р для внутриполостного введ и наружн прим-я,0000000000000000000014503,5163,14503,Диоксидин амп 1% 5 мл №10
119,5074, Допамин 5мг/мл 5мл №10 конц-т д/приг р-ра д/инф амп,0000000000000000000014451,5163,14451,Допамин амп 5 мг/мл 5 мл №10 (уп конт яч 2х5)
120,9449, Календулы настойка 40мл №1 фл,0000000000000000000014781,5163,14781,Календулы настойка фл 40 мл (инд уп)
121,9456, Каффетин №12 тб,0000000000000000000015315,5163,15315,Каффетин таб №12
122,4700," Деринат 0,25% 10мл р-р фл №1 ",0000000000000000000001774,5163,1774,"Деринат фл 0,25% 10 мл (инд уп)"
123,11994, Кордиамин 250мг/мл 1мл №10 амп р-р д/ин,0000000000000000000016243,5163,16243,Кордиамин амп 250 мг/мл 1 мл №10
124,4843, Тримедат 200мг №30 тб,0000000000000000000015891,5163,15891,Тримедат таб 200 мг №30
125,5009, Анальгин 500 мг/мл 2мл №10 амп р-р для в/в и в/м введ-я,0000000000000000000003415,5163,3415,Анальгин амп 50% 2 мл №10
126,15316, Цинка сульфат-ДИА 10мл №1 кап гл фл кр-кап,0000000000000000000017633,5163,17633,"Цинка сульфат + борная к-та фл-кап 0,25% + 2% 10 мл (инд уп)"
127,5515, Пиобактериофаг поливалентный (Секстафаг) 20 мл №4 фл р-р д/приема внутрь и наруж прим,0000000000000000000005115,5163,5115,Секстафаг (Пиобактериофаг поливалентный) фл 20 мл №4
128,4325, Эссливер форте 300мг №30 капс,0000000000000000000015579,5163,15579,Эссливер форте капс №30
129,10147, Кофетамин №10 тб п/о,0000000000000000000018744,5163,18744,Кофетамин таб №10
130,4862, Ацетилсалициловая к-та МС 500мг №10 тб,0000000000000000000001890,5163,1890,"Ацетилсалициловая к-та МС таб 0,5 г №10"
131,9560, Пантокальцин 500мг №50 тб,0000000000000000000017615,5163,17615,"Пантокальцин таб 0,5 г №50"
132,11446, Ацекардол 300мг №30 тб п/к/о ,0000000000000000000019014,5163,19014,Ацекардол таб 300 мг №30 (инд уп) (Ацетилсалициловая к-та)
133,4702, Чемеричная вода 40мл №1 фл,0000000000000000000010298,5163,10298,Чемеричная вода фл 40 мл
134,11766, Глицин - Био Фармаплант 100мг №50 тб подъязычные,0000000000000000000016580,5163,16580,Глицин-Био Фармаплант таб 100 мг №50 (инд уп) подъязычные
135,4724, Метилурациловые свечи №10,0000000000000000000011986,5163,11986,Метилурацил супп рект 500 мг №10
136,11850, Эналаприл 5мг №20 тб,0000000000000000000006033,5163,6033,Эналаприл таб 5 мг №20  Хемофарм
137,11461," Ципрофлоксацин - АКОС 0,3% 5мл №1 фл капли глазные",0000000000000000000013633,5163,13633,"Ципрофлоксацин-АКОС гл капли фл 0,3% 5 мл с насадкой дозатором"
138,4730, Баклосан 10мг №50 тб,0000000000000000000016933,5163,16933,Баклосан таб 10 мг №50
139,15277," Целестодерм В крем 0,1% 30г",0000000000000000000002684,5163,2684,"Целестодерм В крем 0,1% 30 г"
140,1363," Целестодерм В крем 0,1% 30г",0000000000000000000002684,5163,2684,"Целестодерм В крем 0,1% 30 г"
141,15231, АнвиМакс 5г№12 пор д/пригот р/ра для приема внутрь(лимон) саше,0000000000000000000017845,5163,17845,Анвимакс пор №12 лимон
142,10980, Тизалуд 4мг №30 тб,0000000000000000000018748,5163,18748,Тизалуд таб 4 мг №30
143,12400," Бактистатин 0,5г №20 капс",0000000000000000000015423,5163,15423,Бактистатин капс 500 мг №20
144,6495, Налгезин 275мг №10 тб пл/о,0000000000000000000015165,5163,15165,Налгезин таб 275 мг №10 п/о
145,6994, Скин-кап 150мл гель д/душа,0000000000000000000018555,5163,18555,Скин-кап гель д\душа 150 мл
146,7011, Стрепсилс №36 тб д/расс Ментол+Эвкалипт,0000000000000000000016156,5163,16156,Стрепсилс таб №36 ментол-эвкалипт
147,6497, Наятокс 20г мазь,0000000000000000000008455,5163,8455,Наятокс мазь 20 г туба
148,6506, Нотта 50мл капли д/приема внутрь,0000000000000000000003642,5163,3642,Нотта капли фл 50 мл
149,13860, Амоксициллин 500мг №20 тб,0000000000000000000016428,5163,16428,"Амоксициллин таб 0,5 г №20"
150,10225, Пиона настойка 25мл №1,0000000000000000000018709,5163,18709,Пиона настойка фл 25 мл (инд уп)
151,10953," Хлоргексидин 0,5% 1л р-р спиртовой бут п/э",0000000000000000000019382,5163,19382,"Хлоргексидин (спиртовой) 0,5% 1 л"
152,6991," Скин-кап 0,2% 70г аэр",0000000000000000000018246,5163,18246,Скин-кап аэр 100 мл (70 г)
153,5028, Тест на беременность Bee Sure-s №1,0000000000000000000011603,5163,11603,Тест на беременность Bee-sure-S
154,4474, Энтеродез 5г пор д/приема внутрь,0000000000000000000018946,5163,18946,Энтеродез пор 5 г пак №1
155,7005, Специальное драже Мерц №60 ,0000000000000000000000683,5163,683,Специальное драже Мерц  695 мг №60
156,10039, Анаферон детский №20 тб д/рассас,0000000000000000000008502,5163,8502,Анаферон детский таб №20
157,11824, Бетагистин 8мг №30 тб,0000000000000000000016628,5163,16628,Бетагистин таб 8 мг №30 блистер (инд уп)
158,4419, Новокаинамид 100мг/мл 5мл №10 амп д/в/в в/м введ,0000000000000000000012885,5163,12885,Новокаинамид амп 10% 5 мл №10
159,11553, Альфа-Токоферола ацетат 100 мг/мл 20 мл р-р д/приема внутрь масл фл,0000000000000000000014273,5163,14273,Альфа-Токоферола ацетат фл 100 мг/мл 20 мл р-р в масле
160,11717," Ринорус 0,1% 10мл №1 фл-кап капли наз",0000000000000000000014304,5163,14304,"Ринорус фл-кап 0,1% 10 мл (инд уп) пластик"
161,4327, Таблетки от кашля №10,0000000000000000000000633,5163,633,Таблетки от кашля №10
162,8915," Шприц однор 3мл 0,63*32 №1 (трехкомп)",0000000000000000000009616,5163,9616,"Шприц одноразовый 3-х комп 3 мл SFM с иглой 0,63х32-23G"
163,4111, Допегит 250мг №50 тб ,0000000000000000000000975,5163,975,Допегит таб 250 мг №50
164,6546, Тенотен детский №40 тб,0000000000000000000013072,5163,13072,Тенотен таб д/расс №40 детский
165,10993, Торин 50мг №14 тб пл/о,0000000000000000000018749,5163,18749,Торин таб 50 мг №14
166,8624," Верапамил 2,5мг/мл 2мл №10 амп р-р д/ин",0000000000000000000018446,5163,18446,"Верапамил амп 2,5 мг/мл 2 мл №10 в/в Alkaloid"
167,6514, Офтальмоферон 10мл капли гл,0000000000000000000011229,5163,11229,Офтальмоферон глазные капли 10 мл №1
168,9139, Перчатки хирург латексн стер неанатомич р7 №50 (пар),0000000000000000000009952,5163,9952,Перчатки хирургические стер SFM  р.7 (пара)
169,6503," Нокспрей 0,5мг/мл 20мл фл наз",0000000000000000000013013,5163,13013,"Нокспрей спрей назальный 0,05% фл 20 мл"
170,7014, Стрепсилс Плюс 20мл спрей,0000000000000000000007939,5163,7939,Стрепсилс Плюс спрей фл 20 мл
171,12852, Индапамид капс 2.5мг №30,0000000000000000000015695,5163,15695,"Индапамид капс 0,0025 г №30 (инд уп)"
172,8919, Эссенциале форте Н 300мг №100 капс,0000000000000000000014359,5163,14359,Эссенциале-форте Н капс 300 мг №100
173,12346, Эналаприл Н 25мг + 10мг №20 тб,0000000000000000000017473,5163,17473,Эналаприл Н таб 25 мг+10 мг №20
174,12407, Гриппферон 10мл спрей назал дозир №1,0000000000000000000017363,5163,17363,Гриппферон 10000 МЕ/мл 10 мл №1 спрей назальный
175,12414, Уголь активированный 250мг №50 тб,0000000000000000000016687,5163,16687,"Уголь активированный таб 0,25 г №50"
176,10247, Сейзар 50мг №30 тб,0000000000000000000018514,5163,18514,Сейзар таб 50 мг №30 блистер
177,7042, Триган Д  500мг №100 тб,0000000000000000000002024,5163,2024,Триган-Д таб №100
178,6533, Синуфорте 50мг фл лиоф д/приг р-ра д/интраназ введ,0000000000000000000015707,5163,15707,Синуфорте фл 50 мг
179,6557, Физиомер 135мл спрей наз ,0000000000000000000016511,5163,16511,Физиомер спрей наз 135 мл
180,5564," Синекод 1,5мг/мл 100мл сироп со вкусом ванили фл",0000000000000000000016626,5163,16626,"Синекод сироп 1,5 мг/мл фл 100 мл ванильный"
181,8619," Стрепфен 8,75мг №24 тб д/расс (мед-лимон)",0000000000000000000016155,5163,16155,Стрепсилс Интенсив таб №24 мед-лимон
182,10222, Борная кислота 3% 25мл №1 фл р-р спирт,0000000000000000000016316,5163,16316,Борной к-ты спиртовой р-р фл 3% 25 мл
183,10237, Педикулен Ультра 150 мл спрей от вшей и гнид,0000000000000000000016834,5163,16834,Педикулен Ультра (спрей от вшей и гнид) 150 мл
184,13999, Фенибута таблетки 250мг №20,0000000000000000000015823,5163,15823,Фенибут таб 250 мг №20
185,7057," Фастум 2,5% 100г №1 гель туба",0000000000000000000014618,5163,14618,"Фастум гель 2,5% 100 г"
186,7065, Флавамед 15мг/5мл 100мл р-р д/внутр прим,0000000000000000000014619,5163,14619,Флавамед р-р 15 мг/5 мл 100 мл
187,5577, Бисептол 120мг №20 тб,0000000000000000000008832,5163,8832,Бисептол таб 120 мг №20
188,5566, Лактофильтрум 500мг №30 тб,0000000000000000000014808,5163,14808,"Лактофильтрум таб 0,5 №30 (инд уп)"
189,10289, Диклофенак 1% 30г №1 гель д/наружн прим-я туба,0000000000000000000011417,5163,11417,Диклофенак гель 1% 30 г туба
190,7080, Холосас 140г №1 фл сироп,0000000000000000000006851,5163,6851,Холосас фл 140 мл (инд уп)
191,15083, Бупивакаин 5мг/мл 4мл №5 амп р-р д/ин,0000000000000000000022183,5163,22183,Бупивакаин р-р амп 5мг/мл 4 мл №5
192,11849, Эналаприл 20мг №20 тб,0000000000000000000015841,5163,15841,Эналаприл таб 20 мг №20. Хемофарм
193,11880, Ихтиол №10 супп рект,0000000000000000000007319,5163,7319,Ихтиол свечи №10
194,4281, Аллохол №10 тб п/о,0000000000000000000009134,5163,9134,Аллохол таб 210 мг №10
195,4377, Лейкопластырь бакт 4*10 №1,0000000000000000000002897,5163,2897,Лейкопластырь бактерицидный 4х10.
196,13160, Эмокси - Оптик 1% 5мл №1 капли гл ,0000000000000000000014005,5163,14005,Эмокси-оптик глаз капли фл 1% 5 мл с крыш-кап
197,15239, Калия оротат 500мг №30 тб,0000000000000000000021679,5163,21679,Калия оротат таб 500 мг №30 (инд уп)
198,13202," Ринорус 0,1% 20мл спрей наз",0000000000000000000015054,5163,15054,"Ринорус спрей 0,1% 20 мл (инд уп)"
199,15131, Стрепсилс №16 тб д/расс б/сах Клубника с 6 лет,0000000000000000000017500,5163,17500,Стрепсилс таб №16 клубника д\детей
200,6556, Физиомер 115мл спрей наз детский от 3х лет,0000000000000000000016508,5163,16508,Физиомер спрей наз 115 мл (детям от 3 лет)
201,15074, Амлодипин 5мг №20тб,0000000000000000000018145,5163,18145,"Амлодипин таб 0,005 г №20"
202,13192, Амлодипин 5мг №90 тб,0000000000000000000017923,5163,17923,"Амлодипин таб 0,005 г №90"
203,7129, Септолете Нео №18 пастилки лимон,0000000000000000000017975,5163,17975,Септолете Нео пастилки №18 лимон
204,15128, Рибоксин 20мг/мл 10мл №10 амп р-р д/ин,0000000000000000000022444,5163,22444,Рибоксин амп 2% 10 мл №10
205,12049, Хондрогард 100 мг/мл 1мл №10 амп р-р в/м,0000000000000000000019412,5163,19412,Хондрогард амп 100 мг/мл 1 мл №10 в/м
206,15132, Слабилен 5мг №20 тб пл/о ,0000000000000000000018411,5163,18411,Слабилен таб 5 мг №20
207,10348, Кеторолак 10мг №20 тб пл/о,0000000000000000000016534,5163,16534,Кеторолак таб 10 мг №20 п/о
208,15139, Имодиум 2мг №6 тб лиофилиз,0000000000000000000019743,5163,19743,Имодиум таб лиофилизированные 2 мг №6
209,10349, Димефосфон 15% р-р 100мл №1 фл,0000000000000000000015206,5163,15206,Димефосфон р-р 15% 100 мл
210,11178, Аскорбиновая к-та 100мг/мл 2мл №10 амп р-р д/ин,0000000000000000000016014,5163,16014,Аскорбиновая к-та амп 10% 2 мл №10
211,13248, Контейнер д/биомат КЛИНСА стерил с ложкой-шпателем 60мл,0000000000000000000017449,5163,17449,Контейнер для анализов 60 мл с ложкой стерильный .
212,11004, Валериана Форте 40мг №50 тб пл/о,0000000000000000000017464,5163,17464,Валериана форте таб 40 мг №50
